word,value
öh,3.2884210549211623e-07
gesendet,0.019202277761389237
stiftung?,9.968322958649676e-06
destabilisierungsmechanismus,4.7537685979924234e-05
spielen,1.5991896701313513e-05
spice-,1.8760950637045062e-05
005,5.147294284647318e-05
cascadia,0.008654160743084656
exa,8.166132615560924e-06
marcel,6.00018188155151e-05
finale,0.0007811589973968438
jaenicke,2.5999545107630285e-05
movie,0.015695767605068262
soziale,4.052148369614605e-05
terror,1.49558745627734e-05
money,0.001858459973513172
muss,0.004648634725754275
(1987),2.3750536316048122e-05
klein!,2.3872580808808083e-05
live,0.014330779998161411
compilation,0.009813498671184308
zelda,0.01766156299786398
krankheit,2.8407211739800397e-05
doof,1.8891809454282132e-05
unterwerfung,0.0001236358173405586
auf,0.0002990390663684537
dueck,1.2598381777626828e-05
hangover,0.16792359543932694
rache,0.00011569343296172426
teil,7.44361565792276e-05
des,0.002412592347897905
100%iger,8.851683652392014e-05
tot,6.444423835197768e-05
kauft,2.307929160586834e-05
clauss,7.1341108242835e-05
luzifer,4.681626742272091e-05
helmut,0.00012598178370138894
so,0.004181913242009427
king,0.00013472627160764013
"arbeitet,",1.1235551608473933e-05
zeigt:,0.00022819269033793645
euro,2.9214230948175638e-05
türken,0.002276313534737366
award,0.0007811589973968438
"""otto-turm""",1.8842313632218371e-06
rolling,0.045439857091648626
kruse:,1.748965383746214e-05
agent,1.8510081401927368e-07
explain,8.937725019787785e-06
germanletsplay,0.00018516590441541232
best,0.013737530834524146
–,3.29400628552733e-05
(compact,7.1341108242835e-05
erziehung,4.1495805563346404e-05
abreiteplatz,0.00010063924477978311
planet,9.257074775843016e-05
feigheit,2.2795199147721542e-05
dunkle,0.00022819269033793645
hohn«,4.2553524500599397e-05
(kurzfilm,0.00014319751545510096
flüchtlingslager,0.00021569262217947737
einstürzende,4.4694049298617146e-05
social,2.872012025873774e-05
roxette,0.06855184509515232
hagen,0.00019876098288391215
genommen,0.0022194611418600175
"was""",0.0002475279281159131
"menschenbild?""",2.1810028881164746e-05
neuen,1.49558745627734e-05
bankenmafia,3.706491245120005e-05
wackel,0.0021033439432984326
qie-was,2.3591200450500394e-05
wham!,0.09665169795031116
praktische,9.832717966694164e-06
inna,0.043123191579455065
"physik.""",0.000514290068290796
template,1.213664678001831e-07
gefragt,0.005524268704009084
bon,0.192828087521344
media,0.0001084772133148117
sagt:,3.1479342832552516e-05
of,0.009753847662482983
islam?,6.00018188155151e-05
soll,5.3589736770898724e-05
finden,0.0003359166179224353
theory,0.0016000460156555501
might,0.0030668221573170625
official,0.016239031374952754
zur,3.600176931426884e-05
ttip,9.322549386125535e-05
vierte,0.0001236358173405586
staat,4.0817102578609065e-05
guy,1.0170374396663388e-08
rastet,0.00339249042797246
(portrait,2.1596451018834816e-05
rené,3.8463677943221154e-05
zurück,2.103436832717922e-05
blome,1.4779588073231235e-05
gewinner,0.001314883634122224
krieg,0.0002201906397626417
everything.,0.0050231214715386165
nachtstudio:,6.218844931079774e-05
welches,1.3474729038139323e-05
danny,0.008654160743084656
2014,0.0015336046547845478
bibisbeautypalace,0.00201477218675277
schachtschneider,4.938869412011697e-05
zahnimplantat,1.471992187677081e-05
sinn:,2.391529638127407e-05
michaels,0.02097096689121538
free,0.3904909933883223
network,3.051112318999016e-08
liebe?,0.00016230832697139124
dumme,1.1235551608473933e-05
ліжко,5.424199678220474e-09
todfeind,3.872946372745396e-05
kung,0.01533518511713408
erklären:,0.00012406500714009778
aus!,0.00015595319902339617
mir,0.0027950304279905497
illusion?,5.5417014037499246e-05
must,0.06855184509515232
ac/dc,0.0978001868010294
premiere],0.0027518266775535235
audiovortrag,5.6903244749331655e-05
wasserstoff,3.3326960847946366e-05
rüden,0.00013472627160764013
holger_kalweit_1,9.276059474716788e-05
fettes,0.00019442908141589332
invisible?,0.0009627669658358234
un,3.827993317912144e-05
taff,0.0006952423865936707
sieg,9.08682270844287e-05
wird,0.0001855828897656755
1/8,0.00010103995753101165
segen?,3.969971744489565e-05
viel,0.001279024928074468
bescheidenheit?,2.103436832717922e-05
?!,0.0010307942270877456
maiwald,3.437925558552114e-05
sankt,0.004162928833717781
wagenknecht:,1.49558745627734e-05
ist.,4.774990779233461e-05
#zukunftstour,1.464533913119528e-07
bebe,0.013511554607779721
wohnung,6.968672734097775e-05
los,3.320288228030707e-05
hartz,3.1479342832552516e-05
bewusstseins,1.8785359535597055e-05
what,0.00649836767050391
preisträger,2.6510775927302566e-07
droge?,3.711508629822359e-05
blutgeld,0.0001150879566726429
anne,2.8193633877470467e-05
still,9.17659321311742e-05
interface,1.213664678001831e-07
klimawandel,5.1478367046151405e-05
schoßhündchen,6.047508023743984e-05
shred:,0.02097096689121538
longboardtour,5.3589736770898724e-05
die?,5.540480958822325e-05
wählen,1.4300902451628278e-05
mtv,0.014671540049715963
ist),2.2254813254778825e-05
rechte,4.080150800453418e-05
unschärferelation,3.2538417819725066e-05
enissa,0.001668345503928823
bryan's,0.0012216307932542574
test),0.00731864345338648
full,0.0008002620116260967
been,0.06855184509515232
